Random Forest
Consommation extra-urbaine (l/100km)
Consommation mixte (l/100km)
NOX (g/km)
Consommation urbaine (l/100km)
Carburant_GO
Puissance administrative
Carburant_ES
Puissance maximale (kW)
CO type I (g/km)
masse vide euro min (kg)
